通用-基础,"highly detailed,{prompt}","noisy, blurry"
通用-写实,"(masterpiece:1.3), (best quality:1.3), (high resolution:1.2), (high detail:1.2),{prompt}, 8k resolution, RAW photo, ultra-high quality, realistic photo, photographic masterpiece, hyper-realistic, true-to-life photo realism","blur, blurry, drawing, painting, crayon, sketch, graphite, impressionist, noisy, soft,"
通用-效果图,"3D render, 3ds Max, V-Ray,{prompt}, high poly count, realistic textures, detailed modeling, light and shadow accuracy, photorealistic rendering, ambient occlusion, global illumination, crisp details, smooth gradients, ray tracing, high resolution, ultra-high quality, seamless integration, precise lighting, true-to-life depiction, hyper-realistic visualization, professional render","NSFW, (worst quality:2), (low quality:2), (normal quality:2), lowres, blurry, signature, text, word, logo, cropped, out of frame, blur, painting, crayon, sketch, impressionist, noisy, soft, deformed, ugly, (Distorted lines:2)"
通用-纯净,"(pristine scene:1.2), crystal-clear clarity,{prompt}, flawless presentation, immaculate details, pure and bright atmosphere, crisp and clean edges, seamless composition, high contrast, luminous quality, soft lighting, gentle gradients, serene and calm ambiance, well-balanced elements, minimalist aesthetic, airy and light, vibrant colors, spotless surfaces, refined textures",
SAI官方-3d模型,"professional 3d model {prompt} . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting"
SAI官方-模拟电影,"analog film photo {prompt} . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
SAI官方-动画,"anime artwork {prompt} . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast"
SAI官方-电影,"cinematic film still {prompt} . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured"
SAI官方-漫画,"comic {prompt} . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo"
SAI官方-黏土,"play-doh style {prompt} . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo"
SAI官方-数码,"concept art {prompt} . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly"
SAI官方-增强,"breathtaking {prompt} . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy"
SAI官方-幻想,"ethereal fantasy concept art of  {prompt} . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white"
SAI官方-等距,"isometric style {prompt} . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic"
SAI官方-线艺,"line art drawing {prompt} . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic"
SAI官方-低模,"low-poly style {prompt} . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
SAI官方-霓虹,"neonpunk style {prompt} . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
SAI官方-纸艺,"origami style {prompt} . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
SAI官方-照片,"cinematic photo {prompt} . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly"
SAI官方-像素艺术,"pixel-art {prompt} . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic"
SAI官方-材质纹理,texture {prompt} top down close-up,"ugly, deformed, noisy, blurry"
广告-宣传,"advertising poster style {prompt} . Professional, modern, product-focused, commercial, eye-catching, highly detailed","noisy, blurry, amateurish, sloppy, unattractive"
广告-汽车,"automotive advertisement style {prompt} . sleek, dynamic, professional, commercial, vehicle-focused, high-resolution, highly detailed","noisy, blurry, unattractive, sloppy, unprofessional"
广告-企业,"corporate branding style {prompt} . professional, clean, modern, sleek, minimalist, business-oriented, highly detailed","noisy, blurry, grungy, sloppy, cluttered, disorganized"
广告-流行,"fashion editorial style {prompt} . high fashion, trendy, stylish, editorial, magazine style, professional, highly detailed","outdated, blurry, noisy, unattractive, sloppy"
广告-食物,"food photography style {prompt} . appetizing, professional, culinary, high-resolution, commercial, highly detailed","unappetizing, sloppy, unprofessional, noisy, blurry"
广告-美食,"gourmet food photo of {prompt} . soft natural lighting, macro details, vibrant colors, fresh ingredients, glistening textures, bokeh background, styled plating, wooden tabletop, garnished, tantalizing, editorial quality","cartoon, anime, sketch, grayscale, dull, overexposed, cluttered, messy plate, deformed"
